0	NA
1	NA
2	NA
3	0;1
4	2;3
5	4;5;6
6	7;8;9;10;11
7	NA
8	NA
9	12;13
10	14;15;16;17
11	18;19
12	20;21;22;23;24
13	25
14	26;27;28
15	29
16	30
17	NA
18	31
19	32
20	33
21	34
22	35
23	NA
24	36;37
25	38;39;40
26	41;42;43
27	44
28	45;46
29	NA
30	47;48
31	49;50
32	51;52;53;54;55;56;57;58;59
33	60;61
34	62;63
35	NA
36	64;65
37	NA
38	66;67;68;69;70;71
39	72;73;74
40	75;76
41	77
42	78
43	79
44	80
45	81
46	82
47	NA
48	83
49	84
50	85;86;87
51	NA
52	NA
53	88;89
54	90;91
55	NA
56	NA
57	92
58	93;94
59	95;96
60	97
61	98
62	99
